LAT,LONG
4.8719212980,52.3651258900
4.8718037420,52.3650720500
4.8716852290,52.3650191900
4.8715520080,52.3649814200
4.8714187860,52.3649436500
4.8712855650,52.3649058800
4.8711523440,52.3648681100
4.8710191230,52.3648303400
4.8708859020,52.3647925700
4.8707526820,52.3647548000
4.8706194610,52.3647170300
4.8704862410,52.3646792600
4.8703522760,52.3646425400
4.8702160950,52.3646089600
4.8700799150,52.3645753800
4.8699437350,52.3645418000
4.8698075550,52.3645082200
4.8696713750,52.3644746300
4.8695351960,52.3644410500
4.8693990160,52.3644074700
4.8692628370,52.3643738900
4.8691266580,52.3643403000
4.8689904800,52.3643067200
4.8688543010,52.3642731400
4.8687181230,52.3642395500
4.8685816520,52.3642064300
4.8684441310,52.3641749700
4.8683066110,52.3641435000
4.8681690910,52.3641120300
4.8680315710,52.3640805700
4.8678940510,52.3640491000
4.8677565320,52.3640176300
4.8676190120,52.3639861600
4.8674814930,52.3639546900
4.8673439740,52.3639232300
4.8672445430,52.3726459200
4.8672641850,52.3718403900
4.8672932460,52.3726988200
4.8673683300,52.3727760600
4.8674434140,52.3728533000
4.8675184980,52.3729305400
4.8675935820,52.3730077700
4.8676686670,52.3730850100
4.8677437520,52.3731622500
4.8678188370,52.3732394800
4.8678939220,52.3733167200
4.8679690080,52.3733939600
4.8680440940,52.3734712000
4.8681191800,52.3735484300
4.8681942670,52.3736256700
4.8682693530,52.3737029100
4.8683444400,52.3737801400
4.8684195280,52.3738573800
4.8684946150,52.3739346200
4.8685697030,52.3740118500
4.8686447910,52.3740890900
4.8687198790,52.3741663300
4.8687949680,52.3742435600
4.8688700570,52.3743208000
4.8689451460,52.3743980300
4.8690202350,52.3744752700
4.8690953250,52.3745525100
4.8691704150,52.3746297400
4.8692407400,52.3747086100
4.8693087370,52.3747882700
4.8693767340,52.3748679300
4.8694447320,52.3749475900
4.8695127290,52.3750272400
4.8695807270,52.3751069000
4.8675239780,52.3718235400
4.8676670320,52.3718438100
4.8678100860,52.3718640800
4.8679502150,52.3718907100
4.8680895050,52.3719191500
4.8682287960,52.3719475900
4.8683680870,52.3719760400
4.8685073780,52.3720044800
4.8686466690,52.3720329200
4.8687859610,52.3720613700
4.8689252520,52.3720898100
4.8690645440,52.3721182500
4.8692038360,52.3721467000
4.8693431280,52.3721751400
4.8694824200,52.3722035800
4.8696217130,52.3722320200
4.8697610050,52.3722604700
4.8699002980,52.3722889100
4.8700395910,52.3723173500
4.8701788840,52.3723457900
4.8703181780,52.3723742300
4.8704574710,52.3724026700
4.8705967650,52.3724311100
4.8707360590,52.3724595600
4.8708753530,52.3724880000
4.8710146470,52.3725164400
4.8711537120,52.3725452900
4.8712926560,52.3725743700
4.8714316010,52.3726034400
4.8715705460,52.3726325200
4.8717094910,52.3726615900
4.8718508670,52.3726856700
4.8719931670,52.3727078500
4.8721354670,52.3727300200
4.8722777680,52.3727522000
4.8724200680,52.3727743800
4.8725623690,52.3727965600
4.8727046700,52.3728187300
4.8728469710,52.3728409100
4.8719591670,52.3651843300
4.8719033620,52.3652674600
4.8718475570,52.3653505900
4.8717917510,52.3654337200
4.8717359450,52.3655168500
4.8716800960,52.3655999700
4.8716224830,52.3656826300
4.8715648690,52.3657653000
4.8715072560,52.3658479700
4.8714496420,52.3659306300
4.8713920280,52.3660133000
4.8713344130,52.3660959600
4.8712767990,52.3661786300
4.8712191840,52.3662613000
4.8711615690,52.3663439600
4.8711039530,52.3664266300
4.8710463380,52.3665092900
4.8709887220,52.3665919600
4.8709311060,52.3666746200
4.8708734900,52.3667572900
4.8708158740,52.3668399600
4.8707582570,52.3669226200
4.8707006410,52.3670052900
4.8706430240,52.3670879500
4.8705854070,52.3671706200
4.8705277890,52.3672532800
4.8704701720,52.3673359500
4.8704125540,52.3674186100
4.8703549360,52.3675012800
4.8702973170,52.3675839500
4.8702396990,52.3676666100
4.8701820800,52.3677492800
4.8701244610,52.3678319400
4.8700668420,52.3679146100
4.8700092230,52.3679972700
4.8699516030,52.3680799400
4.8698939840,52.3681626000
4.8698363640,52.3682452700
4.8697787430,52.3683279300
4.8697211230,52.3684106000
4.8696637000,52.3684933100
4.8696086880,52.3685766400
4.8695536750,52.3686599700
4.8694986630,52.3687433000
4.8694436500,52.3688266300
4.8693886370,52.3689099500
4.8693336230,52.3689932800
4.8692786100,52.3690766100
4.8692235960,52.3691599400
4.8691685820,52.3692432700
4.8691135680,52.3693265900
4.8690585540,52.3694099200
4.8690022410,52.3694929100
4.8689431510,52.3695751900
4.8688840610,52.3696574700
4.8688249710,52.3697397400
4.8687658810,52.3698220200
4.8687067910,52.3699042900
4.8686477000,52.3699865700
4.8685886090,52.3700688500
4.8685295180,52.3701511200
4.8684704270,52.3702334000
4.8684113350,52.3703156700
4.8683522430,52.3703979500
4.8682931510,52.3704802200
4.8682340590,52.3705625000
4.8681760100,52.3706450500
4.8681197730,52.3707280700
4.8680635350,52.3708110900
4.8680072960,52.3708941100
4.8679510580,52.3709771400
4.8678948200,52.3710601600
4.8678385810,52.3711431800
4.8677823420,52.3712262000
4.8677261030,52.3713092200
4.8676698630,52.3713922400
4.8676135470,52.3714752500
4.8675553010,52.3715577500
4.8674970540,52.3716402500
4.8674388070,52.3717227500
4.8746701500,52.3659177800
4.8745372200,52.3658796300
4.8744042900,52.3658414700
4.8742713600,52.3658033100
4.8741384310,52.3657651500
4.8740055020,52.3657270000
4.8738725730,52.3656888400
4.8737396440,52.3656506800
4.8736067160,52.3656125300
4.8734737870,52.3655743700
4.8733408590,52.3655362100
4.8732079320,52.3654980500
4.8730749500,52.3654599700
4.8729414780,52.3654225300
4.8728080060,52.3653850900
4.8726745340,52.3653476500
4.8725410630,52.3653102100
4.8724075910,52.3652727700
4.8722741200,52.3652353300
4.8721406500,52.3651978900
4.8720071790,52.3651604500
4.8730430040,52.3728832800
4.8731776990,52.3729190700
4.8733123950,52.3729548600
4.8734492470,52.3729873800
4.8735867640,52.3730189000
4.8737242820,52.3730504200
4.8738617990,52.3730819300
4.8739993170,52.3731134500
4.8741368360,52.3731449600
4.8742743540,52.3731764800
4.8744118730,52.3732079900
4.8745493910,52.3732395100
4.8746869100,52.3732710300
4.8748278890,52.3732920300
4.8749746180,52.3732955700
4.8751213470,52.3732991100
4.8752680760,52.3733026500
4.8754148060,52.3733061900
4.8746648390,52.3659814700
4.8746079100,52.3660643100
4.8745509810,52.3661471500
4.8744940510,52.3662300000
4.8744371210,52.3663128400
4.8743801910,52.3663956800
4.8743232610,52.3664785300
4.8742663300,52.3665613700
4.8742094000,52.3666442100
4.8741524690,52.3667270600
4.8740955380,52.3668099000
4.8740386060,52.3668927400
4.8739816750,52.3669755900
4.8739247430,52.3670584300
4.8738678110,52.3671412700
4.8738108790,52.3672241200
4.8737539460,52.3673069600
4.8736970140,52.3673898000
4.8736400810,52.3674726500
4.8735831480,52.3675554900
4.8735262140,52.3676383300
4.8734692810,52.3677211800
4.8734123470,52.3678040200
4.8733554130,52.3678868600
4.8732984790,52.3679697000
4.8732415450,52.3680525500
4.8731846100,52.3681353900
4.8731276760,52.3682182300
4.8730707410,52.3683010800
4.8730138050,52.3683839200
4.8729568700,52.3684667600
4.8728999340,52.3685496000
4.8728429990,52.3686324500
4.8727860620,52.3687152900
4.8727291260,52.3687981300
4.8726721900,52.3688809800
4.8726152530,52.3689638200
4.8725583160,52.3690466600
4.8725013790,52.3691295000
4.8724439970,52.3692122300
4.8723856220,52.3692947000
4.8723272480,52.3693771600
4.8722688730,52.3694596300
